timestep,temperature
1,-0.2
2,-0.1
3,0.1
4,-0.1
5,-0.1
6,-0.1
7,0.1
8,0.4
9,0.8
10,1.3
11,1.4
12,2
13,2.6
14,2.5
15,2.4
16,2.4
17,2.4
18,2.5
19,2.4
20,2.6
21,2.5
22,2.6
23,3.2
24,3.4
25,3.7
26,3.7
27,3.8
28,4
29,4.1
30,4.5
31,4.6
32,4.5
33,4.4
34,3.7
35,4.4
36,4.2
37,3.7
38,3.8
39,3.5
40,2.3
41,0.9
42,-0.2
43,-0.8
44,-1.2
45,-1.7
46,-2.2
47,-2.5
48,-2.8
49,-3.2
50,-3.4
51,-3.7
52,-4
53,-4.2
54,-4.2
55,-4.2
56,-4.2
57,-4.2
58,-3.7
59,-2.6
60,-1.6
61,-1.4
62,-1
63,-1
64,-1.3
65,-1.7
66,-2.1
67,-2.3
68,-3.1
69,-3.6
70,-4.1
71,-4.6
72,-5
73,-5.4
74,-5.8
75,-6.3
76,-6.6
77,-6.9
78,-7.1
79,-7.2
80,-7.5
81,-7.8
82,-7.2
83,-5.9
84,-4.1
85,-2.4
86,-1.1
87,-0.7
88,-1.1
89,-2.6
90,-3
91,-3.5
92,-4
93,-4.5
94,-4.9
95,-5.1
96,-5.5
97,-5.7
98,-5.8
99,-5.8
100,-5.9
101,-6
102,-6
103,-6
104,-6
105,-6.1
106,-5.3
107,-4.5
108,-2.8
109,-1.8
110,-0.6
111,-0.3
112,-0.5
113,-0.7
114,-0.5
115,-0.4
116,-0.3
117,0.2
118,0.4
119,0.5
120,0.7
121,1
122,1.2
123,1.3
124,1.5
125,1.5
126,1.4
127,1.5
128,1.7
129,1.9
130,1.7
131,1.8
132,2.1
133,2.3
134,2.7
135,3
136,3.5
137,3.4
138,3.4
139,2.8
140,3.2
141,2.8
142,3
143,3.4
144,2.8
145,3.6
146,3.5
147,3.2
148,2.9
149,2.6
150,2.2
151,3
152,2.7
153,2.8
154,2.5
155,2.5
156,3.2
157,4.6
158,4.5
159,5
160,4.6
161,4.2
162,4.1
163,3.7
164,3
165,3.5
166,3.5
167,2.9
168,2.8
169,2.6
170,2.7
171,2.8
172,2.6
173,2.3
174,2.2
175,2.7
176,2.3
177,2.1
178,2.3
179,2.7
180,2.8
181,2.9
182,2.9
183,2.8
184,2.7
185,2.6
186,2.6
187,2.6
188,2.1
189,1.9
190,1.4
191,1.2
192,0.8
193,0.5
194,0
195,-0.3
196,-0.3
197,-0.2
198,-0.1
199,-0.1
200,0.1
201,0.2
202,0.4
203,0.5
204,0.7
205,1.2
206,1.6
207,1.6
208,1.5
209,1.4
210,1.3
211,1.2
212,1.2
213,1.3
214,0.9
215,0.5
216,0.2
217,0.1
218,0.1
219,0.1
220,-0.1
221,-0.7
222,-1.4
223,-1.7
224,-1.9
225,-2
226,-0.9
227,0.2
228,0.3
229,0.5
230,0.3
231,0.2
232,0.3
233,-0.1
234,-0.4
235,-0.8
236,-1.2
237,-1.5
238,-1.7
239,-1.8
240,-2
241,-1.9
242,-2
243,-2.1
244,-2.3
245,-2.5
246,-2.8
247,-3
248,-3
249,-2.7
250,-2.1
251,-1.7
252,-1.1
253,-0.3
254,0
255,0.3
256,0.3
257,0.9
258,1.1
259,1.5
260,1.9
261,1.9
262,2
263,2
264,2.3
265,2.2
266,2.5
267,2.6
268,2.7
269,2.5
270,2.2
271,2
272,1.8
273,2
274,2.2
275,2.1
276,2.3
277,2.3
278,2.6
279,2.9
280,3.1
281,3.1
282,3.1
283,2.8
284,2.9
285,2.8
286,2.7
287,2.7
288,2.5
289,2.7
290,2.7
291,2.7
292,2.9
293,3
294,3
295,2.9
296,2.8
297,2.5
298,2.6
299,3.2
300,4.2
301,4.9
302,5.2
303,5.6
304,4.9
305,3.9
306,3.3
307,2.5
308,2
309,1.5
310,1.4
311,1
312,0.7
313,0.5
314,0.4
315,0.1
316,-0.3
317,-0.4
318,-0.6
319,-0.6
320,-0.5
321,-0.8
322,-0.4
323,0.7
324,2
325,2.5
326,3
327,3.4
328,2.9
329,2.7
330,2.5
331,2.3
332,2.1
333,2.2
334,2.1
335,1.8
336,1.8
337,1.8
338,1.6
339,1.7
340,1.8
341,1.8
342,2
343,2.2
344,2.4
345,2.1
346,2.3
347,2.5
348,2.8
349,2.8
350,3
351,2.7
352,2.5
353,2.5
354,2.2
355,2.1
356,1.8
357,1.6
358,1.5
359,1.5
360,1.5
361,0.9
362,0.7
363,0.7
364,0.7
365,0.9
366,1.2
367,1.4
368,1.5
369,1.8
370,1.8
371,1.9
372,2.5
373,2.8
374,2.9
375,3
376,2.9
377,3.1
378,2.7
379,2.1
380,2.2
381,2.2
382,2.3
383,2.6
384,2.7
385,2.6
386,2.7
387,2.8
388,2.9
389,2.9
