,area of element,area of element,area of element,area of element,area of element,area of element,area of element,area of element,area of element,area of element,conditioned area,floor height,orientation factor
,Door_1,Floor_1,Floor_2,Roof_1,Roof_2,Wall_1,Wall_2,Wall_3,Window_1,Window_2,building,building,window
1,2.0,598.34,0.0,0.0,598.34,1599.73,0.0,0,461.0000000000001,0.0,3107.5,2.5,0.7441800380013233
2,2.0,598.3369,0.0,0.0,598.3369,2992.09,0.0,0,756.0,0.0,5275.6,2.5,0.6724565756823818
3,2.0,598.34,0.0,0.0,598.34,1673.73,0.0,0,387.0,0.0,3107.5,2.5,0.7168458781362008
4,2.0,695.12,0.0,0.0,695.12,4221.74,0.0,0,1471.06,0.0,7997.000000000001,2.5,0.7017820137394222
5,2.0,598.34,0.0,0.0,598.34,1673.73,0.0,0,387.0,0.0,3107.5,2.5,0.7168458781362003
6,2.0,558.714,0.0,0.0,558.714,1158.16,0.0,0,319.9,0.0,1928.3,2.5,0.6674976749092656
7,2.0,811.92,0.0,0.0,811.92,1480.48,0.0,0,547.0000000000001,0.0,2742.3,2.5,0.6727287573545757
8,2.0,163.7,0.0,231.8,0.0,305.4,0.0,0,136.2,0.0,829.4000000000001,2.5,0.672875606227887
9,2.0,395.6,0.0,0.0,384.2,1244.0,0.0,0,278.52,0.0,1484.021,2.5,0.699105053332236
10,2.0,353.5,0.0,0.0,353.5,1376.0,0.0,0,294.9,0.0,1602.7,2.5,0.7114511627359068
11,2.0,459.24,0.0,0.0,479.58,3247.79,0.0,0,687.0300000000001,0.0,3887.4,2.5,0.6783400654790972
12,2.0,485.36,269.52,0.0,501.19,6949.14,0.0,0,1947.19,0.0,11448.8,2.5,0.7170951964284423
13,2.0,540.0,0.0,0.0,540.0,2130.0,0.0,0,545.0,0.0,3322.0,2.5,0.6644023038222507
14,2.0,1468.97,0.0,0.0,1468.97,14623.4,0.0,0,2580.52,0.0,19813.2,2.5,0.7297201991219657
15,2.0,124.76,48.96999999999998,284.1,0.0,749.31,0.0,0,106.97,0.0,677.4911,2.5,0.7249443328536959
16,2.0,102.8,0.0,102.8,0.0,146.0,0.0,0,54.08000000000001,0.0,312.4,2.5,0.6658864911095774
17,2.0,127.4,31.10000000000001,158.5,31.1,323.54,0.0,0,71.16,0.0,385.0000000000001,2.5,0.7428728047234275
18,2.0,355.0,0.0,0.0,355.0,462.0,0.0,0,98.71999999999996,0.0,632.28,2.5,0.673406702567052
19,2.0,971.11,0.0,0.0,971.11,2039.0,0.0,0,507.48,0.0,3129.071,2.5,0.6970992855076641
20,2.0,216.7,0.0,0.0,216.7,336.0,0.0,0,81.29999999999998,0.0,468.6110000000001,2.5,0.6724565756823824
21,2.0,248.25,0.0,0.0,248.25,447.13,0.0,0,99.37,0.0,653.95,2.5,0.6732931113658724
22,1.999999999999999,249.4,0.0,0.0,249.4,774.8,0.0,0,160.9999999999999,0.0,778.14,2.5,0.737099086047193
23,2.0,283.7,0.0,0.0,283.7,695.8,0.0,0,162.8,0.0,834.9000000000001,2.5,0.7478828930441836
24,2.0,619.5,0.0,580.0,0.0,1698.0,0.0,0,308.7,0.0,2190.1,2.5,0.7399846149023237
25,47.84999999999999,0.0,321.05,321.05,0.0,1193.16,0.0,0,243.6,0.0,1305.0,2.5,0.6963433118605533
26,47.84999999999999,0.0,321.05,321.05,0.0,1193.16,0.0,0,243.6,0.0,1305.0,2.5,0.6963433118605534
27,2.0,0.0,85.46,134.19,0.0,169.78,0.0,0,28.78,0.0,218.9,2.5,0.7402266186368042
28,2.0,45.6,32.7,83.12,0.0,194.04,0.0,0,22.29999999999999,0.0,141.79,2.5,0.7305633755800108
29,2.0,144.9,0.0,213.99,0.0,235.3,0.0,0,52.35,0.0,302.5,2.5,0.7347093550994093
30,2.0,62.0,17.9,125.4,0.0,117.8,0.0,0,18.40000000000001,0.0,111.1,2.5,0.7633914122343293
31,2.1,115.8,0.0,168.9,0.0,141.2,8.700000000000001,0,27.10000000000001,0.0,121.22,2.5,0.6484759140395376
32,2.0,78.32,73.99999999999999,183.13,0.0,177.55,0.0,0,34.20999999999999,0.0,173.25,2.5,0.7575513377816042
33,2.2,106.0,0.0,138.0,0.0,117.0,0.0,0,32.00000000000001,0.0,184.8,2.5,0.7997285980148883
34,2.0,83.4,0.0,100.8,0.0,159.4,0.0,0,27.0,0.0,215.6,2.5,0.702676224611709
35,2.0,75.33,0.0,123.2,0.0,211.3,0.0,0,29.67,0.0,150.205,2.5,0.7817840747812371
36,2.000000000000001,84.30760000000001,0.0,115.5,0.0,126.6,0.0,0,32.46000000000001,0.0,121.88,2.5,0.8174305768963204
37,2.0,79.82,0.0,85.91,0.0,188.86,0.0,0,28.3,0.0,146.52,2.5,0.8257406904050013
38,2.6,0.0,107.8,131.9,0.0,227.5999999999999,0.0,0,41.99999999999999,0.0,186.8,2.5,0.8097542242703538
39,2.6,0.0,107.8,131.9,0.0,227.5999999999999,0.0,0,41.99999999999999,0.0,186.8,2.5,0.809754224270354
40,2.0,60.0,0.0,0.0,60.0,74.47,0.0,0,18.091,0.0,95.964,2.5,0.6509729623040282
41,2.0,50.35,0.0,0.0,50.35,64.14,0.0,0,21.48,0.0,112.75,2.5,0.7601739283123318
42,2.000000000000001,81.2,0.0,0.0,81.2,134.66,0.0,0,46.66999999999999,0.0,149.6,2.5,0.7134194420356008
43,2.0,46.2,0.0,0.0,46.2,40.42,0.0,0,13.52,0.0,117.37,2.5,0.7431982028279024
44,2.0,60.85,0.0,0.0,60.85,53.72,0.0,0,23.36,0.0,106.3062,2.5,0.6724565756823818
45,2.0,73.0,0.0,97.63,0.0,54.1,0.0,0,20.25,0.0,108.273,2.5,0.7358931470759433
46,2.0,56.08,0.0,64.87,0.0,50.9,0.0,0,18.75,0.0,127.6,2.5,0.6724565756823818
