,,gain utilisation factor,thermal bridges factor,transmission factor,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,heating days,ventilation rate,heating degree days,irradiation heating season,temperature reduction factor
,,building,building,window,Door_1,Floor_1,Floor_2,Roof_1,Roof_2,Wall_1,Wall_2,Wall_3,Window_1,Window_2,building,building,building,building,building
1,1,0.9400812479846928,0.1,0.75,4.0,0.7692307692307692,1.0,0.6,0.5084745762711864,1.1,1.1,1.1,2.7,2.7,222,0.6000000000000002,3463,403,0.94
1,2,0.9449224441141874,0.1,0.75,4.0,0.7692307692307692,1.0,0.5,0.5084745762711864,1.1,1.1,1.1,2.7,2.7,222,0.6000000000000002,3463,403,0.94
1,3,0.9476117299250176,0.1,0.75,4.0,0.6451612903225806,0.8,0.5,0.4347826086956522,0.8999999999999999,0.8999999999999999,0.8999999999999999,2.7,2.7,222,0.6000000000000002,3463,403,0.95
1,4,0.933536484943598,0.1,0.75,4.0,0.6451612903225806,0.8,0.5,0.4347826086956522,0.8999999999999999,0.8999999999999999,0.8999999999999999,3.0,3.0,222,0.6000000000000002,3463,403,0.94
1,5,0.948359762567114,0.1,0.75,4.0,0.5084745762711864,0.6,0.4,0.3571428571428571,0.6,0.6,0.6,3.0,3.0,222,0.6000000000000002,3463,403,0.96
1,6,0.9395773359479276,0.1,0.75,3.0,1.325301204819277,2.2,1.4,1.081081081081081,1.2,1.2,1.2,3.0,3.0,222,0.6000000000000002,3463,403,0.92
1,7,0.9321433593254412,0.1,0.75,3.0,1.081081081081081,1.6,0.6,0.5084745762711864,1.1,1.1,1.1,2.7,2.7,222,0.6000000000000002,3463,403,0.93
1,8,0.9397725044630314,0.1,0.75,3.0,0.8823529411764706,1.2,1.3,1.0,1.7,1.7,1.7,2.8,2.8,222,0.6000000000000002,3463,403,0.93
1,9,0.93342843344505,0.1,0.75,3.0,0.7692307692307692,1.0,1.4,0.6451612903225806,1.4,1.4,1.4,3.0,3.0,222,0.6000000000000002,3463,403,0.91
1,10,0.9334874403657886,0.1,0.75,3.0,1.288343558282209,2.1,0.6,1.081081081081081,1.2,1.2,1.2,3.0,3.0,222,0.6000000000000002,3463,403,0.91
1,11,0.9367669513179336,0.1,0.75,3.0,1.081081081081081,1.6,0.8,0.5084745762711864,1.2,1.2,1.2,3.0,3.0,222,0.6000000000000002,3463,403,0.92
1,12,0.9361164432226592,0.1,0.75,3.0,1.081081081081081,1.6,0.6,0.5084745762711864,1.2,1.2,1.2,3.0,3.0,222,0.6000000000000002,3463,403,0.94
1,13,0.9403922265164718,0.1,0.75,4.0,0.7692307692307692,1.0,0.5,0.5084745762711864,1.1,1.1,1.1,3.0,3.0,222,0.6000000000000002,3463,403,0.93
