,Januar,Januar,Januar,Februar,Februar,Februar,März,März,März,April,April,April,Mai,Mai,Mai,Juni,Juni,Juni,Juli,Juli,Juli,August,August,August,September,September,September,Oktober,Oktober,Oktober,November,November,November,Dezember,Dezember,Dezember
[kWh],SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT
00:00-00:15,18.475,17.075,18.100,18.475,17.075,18.100,18.267,16.783,17.925,17.850,16.200,17.575,17.325,15.925,17.050,16.800,15.650,16.525,16.800,15.650,16.525,16.800,15.650,16.525,17.325,15.925,17.050,17.850,16.200,17.575,18.475,17.075,18.100,18.475,17.075,18.100
00:15-00:30,18.250,16.500,17.350,18.250,16.500,17.350,17.950,16.225,17.158,17.350,15.675,16.775,16.875,15.413,16.275,16.400,15.150,15.775,16.400,15.150,15.775,16.400,15.150,15.775,16.875,15.413,16.275,17.350,15.675,16.775,18.250,16.500,17.350,18.250,16.500,17.350
00:30-00:45,18.150,16.075,16.725,18.150,16.075,16.725,17.767,15.825,16.508,17.000,15.325,16.075,16.538,15.025,15.600,16.075,14.725,15.125,16.075,14.725,15.125,16.075,14.725,15.125,16.538,15.025,15.600,17.000,15.325,16.075,18.150,16.075,16.725,18.150,16.075,16.725
00:45-01:00,18.075,15.750,16.200,18.075,15.750,16.200,17.608,15.517,15.975,16.675,15.050,15.525,16.213,14.700,15.063,15.750,14.350,14.600,15.750,14.350,14.600,15.750,14.350,14.600,16.213,14.700,15.063,16.675,15.050,15.525,18.075,15.750,16.200,18.075,15.750,16.200
01:00-01:15,17.875,15.525,15.800,17.875,15.525,15.800,17.358,15.283,15.558,16.325,14.800,15.075,15.837,14.425,14.625,15.350,14.050,14.175,15.350,14.050,14.175,15.350,14.050,14.175,15.837,14.425,14.625,16.325,14.800,15.075,17.875,15.525,15.800,17.875,15.525,15.800
01:15-01:30,17.600,15.350,15.475,17.600,15.350,15.475,17.058,15.083,15.242,15.975,14.550,14.775,15.450,14.175,14.313,14.925,13.800,13.850,14.925,13.800,13.850,14.925,13.800,13.850,15.450,14.175,14.313,15.975,14.550,14.775,17.600,15.350,15.475,17.600,15.350,15.475
01:30-01:45,17.275,15.200,15.250,17.275,15.200,15.250,16.717,14.908,15.008,15.600,14.325,14.525,15.050,13.962,14.063,14.500,13.600,13.600,14.500,13.600,13.600,14.500,13.600,13.600,15.050,13.962,14.063,15.600,14.325,14.525,17.275,15.200,15.250,17.275,15.200,15.250
01:45-02:00,16.900,15.050,15.050,16.900,15.050,15.050,16.358,14.742,14.817,15.275,14.125,14.350,14.700,13.775,13.888,14.125,13.425,13.425,14.125,13.425,13.425,14.125,13.425,13.425,14.700,13.775,13.888,15.275,14.125,14.350,16.900,15.050,15.050,16.900,15.050,15.050
02:00-02:15,16.550,14.875,14.900,16.550,14.875,14.900,16.033,14.567,14.675,15.000,13.950,14.225,14.400,13.625,13.763,13.800,13.300,13.300,13.800,13.300,13.300,13.800,13.300,13.300,14.400,13.625,13.763,15.000,13.950,14.225,16.550,14.875,14.900,16.550,14.875,14.900
02:15-02:30,16.200,14.700,14.800,16.200,14.700,14.800,15.725,14.408,14.567,14.775,13.825,14.100,14.163,13.500,13.638,13.550,13.175,13.175,13.550,13.175,13.175,13.550,13.175,13.175,14.163,13.500,13.638,14.775,13.825,14.100,16.200,14.700,14.800,16.200,14.700,14.800
02:30-02:45,15.850,14.500,14.700,15.850,14.500,14.700,15.425,14.242,14.467,14.575,13.725,14.000,13.962,13.400,13.538,13.350,13.075,13.075,13.350,13.075,13.075,13.350,13.075,13.075,13.962,13.400,13.538,14.575,13.725,14.000,15.850,14.500,14.700,15.850,14.500,14.700
02:45-03:00,15.525,14.350,14.600,15.525,14.350,14.600,15.133,14.125,14.367,14.350,13.675,13.900,13.775,13.325,13.438,13.200,12.975,12.975,13.200,12.975,12.975,13.200,12.975,12.975,13.775,13.325,13.438,14.350,13.675,13.900,15.525,14.350,14.600,15.525,14.350,14.600
03:00-03:15,15.175,14.250,14.475,15.175,14.250,14.475,14.833,14.050,14.242,14.150,13.650,13.775,13.613,13.250,13.313,13.075,12.850,12.850,13.075,12.850,12.850,13.075,12.850,12.850,13.613,13.250,13.313,14.150,13.650,13.775,15.175,14.250,14.475,15.175,14.250,14.475
03:15-03:30,14.850,14.175,14.350,14.850,14.175,14.350,14.542,14.000,14.108,13.925,13.650,13.625,13.438,13.188,13.188,12.950,12.725,12.750,12.950,12.725,12.750,12.950,12.725,12.750,13.438,13.188,13.188,13.925,13.650,13.625,14.850,14.175,14.350,14.850,14.175,14.350
03:30-03:45,14.575,14.150,14.225,14.575,14.150,14.225,14.308,13.992,13.992,13.775,13.675,13.525,13.313,13.150,13.075,12.850,12.625,12.625,12.850,12.625,12.625,12.850,12.625,12.625,13.313,13.150,13.075,13.775,13.675,13.525,14.575,14.150,14.225,14.575,14.150,14.225
03:45-04:00,14.350,14.125,14.125,14.350,14.125,14.125,14.125,13.975,13.892,13.675,13.675,13.425,13.200,13.088,12.963,12.725,12.500,12.500,12.725,12.500,12.500,12.725,12.500,12.500,13.200,13.088,12.963,13.675,13.675,13.425,14.350,14.125,14.125,14.350,14.125,14.125
04:00-04:15,14.225,14.100,14.075,14.225,14.100,14.075,14.033,13.942,13.850,13.650,13.625,13.400,13.138,13.013,12.900,12.625,12.400,12.400,12.625,12.400,12.400,12.625,12.400,12.400,13.138,13.013,12.900,13.650,13.625,13.400,14.225,14.100,14.075,14.225,14.100,14.075
04:15-04:30,14.200,14.125,14.075,14.200,14.125,14.075,14.025,13.942,13.858,13.675,13.575,13.425,13.113,12.962,12.888,12.550,12.350,12.350,12.550,12.350,12.350,12.550,12.350,12.350,13.113,12.962,12.888,13.675,13.575,13.425,14.200,14.125,14.075,14.200,14.125,14.075
04:30-04:45,14.250,14.200,14.150,14.250,14.200,14.150,14.092,13.992,13.933,13.775,13.575,13.500,13.138,12.975,12.938,12.500,12.375,12.375,12.500,12.375,12.375,12.500,12.375,12.375,13.138,12.975,12.938,13.775,13.575,13.500,14.250,14.200,14.150,14.250,14.200,14.150
04:45-05:00,14.350,14.350,14.350,14.350,14.350,14.350,14.200,14.125,14.125,13.900,13.675,13.675,13.200,13.088,13.088,12.500,12.500,12.500,12.500,12.500,12.500,12.500,12.500,12.500,13.200,13.088,13.088,13.900,13.675,13.675,14.350,14.350,14.350,14.350,14.350,14.350
05:00-05:15,14.550,14.625,14.700,14.550,14.625,14.700,14.375,14.375,14.433,14.025,13.875,13.900,13.300,13.338,13.350,12.575,12.800,12.800,12.575,12.800,12.800,12.575,12.800,12.800,13.300,13.338,13.350,14.025,13.875,13.900,14.550,14.625,14.700,14.550,14.625,14.700
05:15-05:30,14.800,15.125,15.225,14.800,15.125,15.225,14.583,14.858,14.917,14.150,14.325,14.300,13.438,13.800,13.763,12.725,13.275,13.225,12.725,13.275,13.225,12.725,13.275,13.225,13.438,13.800,13.763,14.150,14.325,14.300,14.800,15.125,15.225,14.800,15.125,15.225
05:30-05:45,15.125,15.925,15.950,15.125,15.925,15.950,14.867,15.642,15.617,14.350,15.075,14.950,13.638,14.538,14.388,12.925,14.000,13.825,12.925,14.000,13.825,12.925,14.000,13.825,13.638,14.538,14.388,14.350,15.075,14.950,15.125,15.925,15.950,15.125,15.925,15.950
05:45-06:00,15.525,17.125,16.900,15.525,17.125,16.900,15.217,16.817,16.592,14.600,16.200,15.975,13.900,15.625,15.288,13.200,15.050,14.600,13.200,15.050,14.600,13.200,15.050,14.600,13.900,15.625,15.288,14.600,16.200,15.975,15.525,17.125,16.900,15.525,17.125,16.900
