,Januar,Januar,Januar,Februar,Februar,Februar,März,März,März,April,April,April,Mai,Mai,Mai,Juni,Juni,Juni,Juli,Juli,Juli,August,August,August,September,September,September,Oktober,Oktober,Oktober,November,November,November,Dezember,Dezember,Dezember
[kWh],SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT
00:00-00:15,48.225,51.804,45.653,46.870,41.293,38.285,27.658,26.999,23.712,15.592,18.786,13.182,5.573,4.927,6.074,7.548,4.941,4.335,6.958,6.640,5.512,8.510,8.440,7.701,8.856,8.236,7.044,30.200,21.829,19.949,44.892,44.929,42.465,57.597,58.572,58.390
00:15-00:30,49.878,50.466,46.049,43.418,40.530,37.703,24.449,25.945,23.729,15.656,17.736,13.288,5.053,4.572,5.603,7.234,4.721,3.757,6.310,6.641,5.364,8.114,7.763,7.410,8.570,7.378,6.820,28.728,21.408,19.470,44.935,44.151,42.131,56.409,58.127,58.247
00:30-00:45,47.679,49.867,44.213,43.604,39.515,37.409,25.333,27.784,24.208,16.247,17.381,13.333,4.678,4.738,5.259,6.915,4.999,3.700,6.602,6.381,4.942,9.024,7.741,7.463,8.493,7.171,6.936,28.290,20.590,19.386,46.307,42.888,41.493,57.344,57.912,56.364
00:45-01:00,45.958,50.944,42.049,41.063,38.152,36.921,25.312,27.101,24.056,15.017,18.054,13.475,4.200,4.977,5.476,7.120,4.450,3.877,6.481,6.214,5.112,8.841,7.928,7.843,8.211,6.628,6.941,27.213,20.578,18.939,42.987,42.371,39.801,55.743,56.608,54.358
01:00-01:15,45.807,49.858,43.032,40.529,38.378,36.549,26.695,25.629,24.135,15.397,18.207,13.823,4.658,4.858,5.438,6.664,5.020,3.849,6.632,6.373,5.072,8.896,7.954,7.664,8.198,7.017,7.143,26.742,20.254,19.009,41.331,42.187,41.048,54.432,54.682,53.864
01:15-01:30,47.572,49.609,42.488,40.947,39.310,36.704,26.039,25.107,24.446,15.872,17.817,13.814,4.558,4.833,5.541,7.168,5.242,3.844,6.683,6.507,4.915,9.349,8.065,7.727,8.429,6.342,7.358,25.732,20.336,18.883,41.173,40.283,40.561,53.368,53.790,53.317
01:30-01:45,46.417,47.150,41.812,41.630,37.690,35.850,26.316,25.901,24.358,16.313,17.780,14.321,4.765,5.371,5.578,6.798,5.594,3.929,7.178,6.316,5.197,8.623,8.410,7.691,9.067,7.147,7.534,25.154,19.935,19.630,42.080,40.936,40.216,55.350,52.977,52.084
01:45-02:00,44.422,46.923,41.880,39.603,35.846,35.676,26.996,26.886,24.748,16.306,17.716,14.960,4.899,5.491,5.679,5.883,5.422,4.098,6.870,6.471,5.316,8.677,8.353,7.733,9.265,7.600,7.782,24.979,20.508,19.949,43.100,41.017,39.441,52.679,51.560,51.944
02:00-02:15,44.217,48.113,43.288,40.784,39.699,37.260,28.028,28.463,25.235,16.588,19.808,15.632,4.671,5.515,5.673,6.155,5.595,4.041,7.706,6.538,5.544,9.268,8.446,7.659,9.585,7.231,7.898,25.450,21.196,19.857,40.020,39.597,39.326,50.866,51.165,51.015
