,Januar,Januar,Januar,Februar,Februar,Februar,März,März,März,April,April,April,Mai,Mai,Mai,Juni,Juni,Juni,Juli,Juli,Juli,August,August,August,September,September,September,Oktober,Oktober,Oktober,November,November,November,Dezember,Dezember,Dezember
[kWh],SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT
00:00-00:15,15.045,14.658,14.832,14.762,14.795,14.967,14.746,14.351,14.645,13.754,13.616,13.948,13.226,13.122,13.160,13.708,13.369,13.818,13.829,13.485,13.346,13.746,13.421,13.154,13.324,12.899,13.044,13.562,13.174,13.129,14.693,14.118,14.236,15.623,14.905,15.472
00:15-00:30,14.908,14.602,14.721,14.586,14.794,14.810,14.561,14.235,14.524,13.604,13.558,13.793,13.178,12.968,13.015,13.500,13.075,13.602,13.606,13.199,13.169,13.689,13.156,13.039,13.133,12.798,12.863,13.390,13.096,12.969,14.562,13.994,14.135,15.499,14.685,15.337
00:30-00:45,14.785,14.430,14.618,14.464,14.687,14.709,14.562,14.108,14.431,13.581,13.322,13.684,13.189,12.782,12.892,13.290,13.078,13.485,13.375,12.984,13.006,13.432,13.055,12.949,12.911,12.569,12.718,13.252,12.880,12.830,14.492,13.783,14.002,15.441,14.674,15.256
00:45-01:00,14.739,14.244,14.501,14.480,14.418,14.603,14.371,13.994,14.364,13.547,13.282,13.570,13.114,12.695,12.749,13.244,12.855,13.368,13.275,12.901,12.919,13.301,12.902,12.832,12.856,12.444,12.570,13.167,12.757,12.718,14.395,13.785,13.897,15.322,14.606,15.136
01:00-01:15,14.674,14.226,14.448,14.412,14.379,14.608,14.423,13.922,14.257,13.438,13.283,13.505,12.971,12.712,12.673,13.262,12.860,13.232,13.234,12.757,12.846,13.215,12.756,12.774,12.722,12.311,12.497,13.139,12.721,12.638,14.269,13.739,13.834,15.174,14.477,15.053
01:15-01:30,14.591,14.113,14.371,14.261,14.241,14.546,14.326,13.945,14.174,13.378,13.205,13.421,12.895,12.587,12.639,13.104,12.683,13.204,13.196,12.662,12.765,13.142,12.727,12.763,12.532,12.336,12.483,13.107,12.606,12.594,14.135,13.601,13.916,15.070,14.390,14.921
01:30-01:45,14.549,14.129,14.294,14.259,14.125,14.381,14.178,13.769,14.068,13.241,13.144,13.407,12.810,12.497,12.564,13.098,12.683,13.196,13.123,12.672,12.732,13.047,12.705,12.675,12.498,12.295,12.407,12.933,12.407,12.516,13.907,13.493,13.708,15.009,14.249,14.864
01:45-02:00,14.421,14.139,14.328,14.270,14.264,14.481,14.203,13.724,14.079,13.164,13.116,13.343,12.812,12.462,12.530,12.961,12.647,13.134,13.026,12.645,12.682,12.974,12.673,12.663,12.374,12.163,12.432,12.884,12.411,12.475,13.879,13.455,13.707,15.036,14.229,14.909
02:00-02:15,14.328,14.069,14.306,14.291,14.078,14.538,14.135,13.798,14.090,13.152,13.099,13.333,12.644,12.376,12.500,12.971,12.620,13.085,13.032,12.499,12.662,12.884,12.586,12.599,12.430,12.065,12.408,12.764,12.411,12.485,13.789,13.449,13.663,14.946,14.263,14.883
02:15-02:30,14.227,13.996,14.256,14.189,14.129,14.434,13.965,13.697,14.017,13.088,13.073,13.263,12.585,12.311,12.523,12.855,12.551,13.028,12.899,12.465,12.634,12.810,12.488,12.590,12.382,12.064,12.384,12.646,12.325,12.440,13.727,13.436,13.648,14.804,14.122,14.739
02:30-02:45,14.077,13.868,14.181,14.054,14.012,14.393,13.825,13.774,13.966,13.046,12.968,13.272,12.505,12.285,12.463,12.704,12.404,12.960,12.783,12.370,12.615,12.787,12.403,12.549,12.287,11.926,12.368,12.590,12.317,12.460,13.683,13.281,13.720,14.748,13.975,14.766
