,Januar,Januar,Januar,Februar,Februar,Februar,März,März,März,April,April,April,Mai,Mai,Mai,Juni,Juni,Juni,Juli,Juli,Juli,August,August,August,September,September,September,Oktober,Oktober,Oktober,November,November,November,Dezember,Dezember,Dezember
[kWh],SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT
00:00-00:15,22.152,23.148,20.126,22.247,23.030,20.279,21.857,22.709,19.602,23.914,24.952,21.235,24.619,25.395,22.213,26.983,27.626,24.566,28.255,28.737,25.976,26.762,27.556,24.849,23.550,25.014,21.296,22.870,23.558,20.509,21.707,22.535,19.583,21.650,22.812,19.959
00:15-00:30,20.809,21.985,18.915,20.913,21.688,19.097,20.478,21.426,18.418,22.426,23.419,19.930,23.080,24.076,20.894,25.584,26.266,23.272,26.868,27.379,24.627,25.412,26.314,23.605,22.282,23.683,20.197,21.534,22.195,19.261,20.333,21.231,18.360,20.225,21.446,18.710
00:30-00:45,19.757,21.147,17.959,20.014,20.821,18.220,19.823,20.510,17.849,21.493,22.371,19.208,22.073,22.961,20.099,24.444,25.040,22.285,25.820,26.300,23.677,24.561,25.227,22.732,21.458,22.735,19.484,20.761,21.169,18.580,19.296,20.274,17.387,19.131,20.393,17.714
00:45-01:00,18.889,20.385,17.202,19.230,20.060,17.504,19.045,19.732,17.125,20.461,21.343,18.350,20.956,21.966,19.269,23.317,24.061,21.359,24.770,25.299,22.711,23.525,24.307,21.924,20.445,21.814,18.739,19.810,20.225,17.779,18.380,19.385,16.601,18.234,19.526,16.939
01:00-01:15,18.217,19.650,16.612,18.547,19.356,16.932,18.327,19.004,16.584,19.661,20.445,17.658,20.167,21.104,18.594,22.374,23.207,20.683,23.867,24.452,21.994,22.842,23.501,21.275,19.743,21.023,18.186,18.994,19.446,17.176,17.729,18.648,16.044,17.523,18.770,16.339
01:15-01:30,17.530,18.998,16.077,17.910,18.708,16.422,17.756,18.370,16.130,18.889,19.695,17.063,19.364,20.293,17.931,21.562,22.345,19.963,22.999,23.532,21.288,22.101,22.692,20.630,19.006,20.187,17.559,18.273,18.716,16.610,17.151,18.035,15.520,16.867,18.068,15.803
01:30-01:45,16.988,18.366,15.796,17.457,18.112,16.191,17.345,18.181,15.883,18.313,19.283,16.563,18.689,19.781,17.419,20.807,21.704,19.347,22.292,22.911,20.645,21.377,22.126,20.100,18.287,19.563,17.069,17.659,18.354,16.146,16.715,17.531,15.269,16.358,17.449,15.461
01:45-02:00,16.399,17.667,15.300,16.879,17.474,15.718,16.779,17.623,15.476,17.758,18.657,16.156,18.091,19.125,16.990,20.258,21.068,18.946,21.735,22.278,20.190,20.887,21.476,19.651,17.779,19.015,16.676,17.077,17.700,15.744,16.184,16.923,14.857,15.738,16.786,14.982
02:00-02:15,16.199,17.458,15.287,16.723,17.413,15.760,16.666,17.530,15.464,17.500,18.326,16.023,17.862,18.880,16.858,19.852,20.600,18.670,21.261,21.815,19.913,20.537,21.074,19.425,17.488,18.669,16.510,16.839,17.174,15.630,16.016,16.770,14.874,15.536,16.575,14.949
