,Januar,Januar,Januar,Februar,Februar,Februar,März,März,März,April,April,April,Mai,Mai,Mai,Juni,Juni,Juni,Juli,Juli,Juli,August,August,August,September,September,September,Oktober,Oktober,Oktober,November,November,November,Dezember,Dezember,Dezember
[kWh],SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT,SA,FT,WT
00:00-00:15,36.049,35.574,32.800,36.724,32.804,31.606,32.636,32.049,29.429,31.553,33.931,29.786,24.391,25.588,22.005,26.624,26.048,25.140,27.064,28.640,24.854,26.738,26.744,25.278,25.475,25.794,24.093,28.924,28.605,26.458,33.444,34.331,30.652,37.479,37.171,37.357
00:15-00:30,36.417,33.883,33.127,35.016,33.262,30.536,32.478,32.532,30.155,29.177,31.793,29.637,24.977,23.889,21.581,25.617,26.148,23.933,26.840,28.070,24.301,25.779,25.624,25.369,24.664,24.614,23.575,28.624,27.664,25.844,33.417,34.033,30.770,37.531,37.777,36.664
00:30-00:45,33.767,33.192,32.120,34.800,34.435,30.504,29.628,30.314,29.708,29.196,29.258,28.264,24.342,23.866,21.812,23.998,27.136,23.034,25.609,25.033,23.861,26.348,25.139,24.124,23.909,24.671,22.943,26.482,26.460,24.991,31.354,32.256,29.603,37.143,36.164,35.490
00:45-01:00,33.027,31.410,31.070,31.947,33.386,29.502,32.381,32.535,29.462,28.716,29.097,28.495,23.533,23.053,21.449,25.119,24.830,23.625,28.152,25.584,23.159,25.614,24.868,23.263,24.065,23.774,21.997,26.551,25.845,25.137,31.548,31.591,29.373,35.952,34.738,34.705
01:00-01:15,33.168,30.653,30.886,34.087,32.972,29.317,31.927,29.993,29.063,28.987,28.906,28.205,23.005,22.405,21.665,24.510,25.684,23.073,24.852,23.947,22.576,25.722,24.744,23.071,23.589,23.182,22.287,26.860,25.133,24.577,31.798,31.930,29.127,35.179,33.878,34.297
01:15-01:30,32.387,31.324,30.690,32.123,30.758,29.907,30.924,31.439,29.286,28.592,30.570,27.960,23.663,22.783,21.249,23.034,22.745,22.456,24.565,25.655,23.176,24.576,24.142,22.836,23.053,23.058,22.117,25.953,25.270,24.422,30.454,31.032,28.671,34.269,34.216,33.695
01:30-01:45,32.208,30.592,30.975,31.380,31.329,28.830,31.252,30.515,29.409,30.033,28.434,29.572,21.681,22.568,21.560,24.630,22.474,22.812,26.393,24.471,23.025,26.654,23.075,22.558,22.685,21.980,21.573,26.163,23.586,23.961,30.130,29.972,28.455,33.788,33.029,33.613
01:45-02:00,30.486,30.816,29.994,30.822,30.571,29.016,31.857,28.688,28.543,28.706,29.335,27.760,22.869,20.960,20.857,21.065,22.486,22.061,24.175,24.866,22.892,24.511,24.130,23.001,22.469,21.532,21.871,25.885,23.212,23.817,29.282,30.293,28.546,32.922,33.266,33.744
02:00-02:15,30.652,29.924,30.763,30.111,30.116,29.325,32.367,29.686,29.071,28.813,28.127,27.960,23.318,23.055,21.799,22.777,21.304,23.328,24.429,24.825,22.202,23.599,22.670,22.658,21.340,21.639,21.457,25.848,23.920,23.911,29.814,30.120,28.634,32.734,32.663,33.754
