TRY,Haus,TT,UWH,UWB,USH,USB,SWX,SSX,WWH,WWB,WSH,WSB
1,EFH,F_Heiz_TT,0.0018613,0.002685,0.0031328,0.0025591,0.0,0.0,0.0050225,0.0052687,0.0056739,0.0044698
1,EFH,F_el_TT,-5.8847e-05,1.8204e-06,8.2711e-05,0.00015686,-0.00013011,-7.0403e-05,3.7464e-06,6.5377e-05,0.00010871,0.00021175
1,EFH,F_TWW_TT,-0.00013009,-6.5571e-05,0.00031096,0.00036393,-0.00020809,0.00014629,7.6953e-05,2.6877e-05,0.00074913,0.00040245
1,MFH,F_Heiz_TT,0.0018996,0.0025273,0.0021663,0.002059,0.00037422,0.0003023,0.0059241,0.004998,0.0057994,0.0040813
1,MFH,F_el_TT,1.3679e-05,3.6914e-06,-1.3288e-05,-1.3288e-05,-3.8257e-05,-4.0255e-05,5.2632e-05,1.9672e-05,3.2656e-05,6.9504e-07
1,MFH,F_TWW_TT,1.3822e-05,4.8964e-06,4.8964e-06,1.779e-05,-5.2627e-05,-4.3701e-05,2.9691e-05,2.8699e-05,2.1757e-05,1.5806e-05
2,EFH,F_Heiz_TT,0.0019137,0.0024798,0.002649,0.0026417,0.0,0.0,0.0047554,0.0051503,0.0056221,0.0045184
2,EFH,F_el_TT,-5.9991e-05,5.9546e-07,8.1377e-05,0.00015543,-0.00013116,-7.1531e-05,2.5188e-06,6.4067e-05,0.00010734,0.00021024
2,EFH,F_TWW_TT,-0.00013023,-6.5718e-05,0.00031075,0.0003637,-0.00020822,0.0001461,7.6781e-05,2.6714e-05,0.00074884,0.00040222
2,MFH,F_Heiz_TT,0.0019155,0.0023766,0.0019161,0.0020943,0.00030435,0.0003393,0.0056887,0.0049251,0.005785,0.0041313
2,MFH,F_el_TT,1.3523e-05,3.5415e-06,-1.3428e-05,-1.3428e-05,-3.8382e-05,-4.0379e-05,5.2453e-05,1.9513e-05,3.2489e-05,5.4695e-07
2,MFH,F_TWW_TT,1.3447e-05,4.534e-06,4.534e-06,1.7409e-05,-5.2907e-05,-4.3994e-05,2.9293e-05,2.8303e-05,2.137e-05,1.5428e-05
3,EFH,F_Heiz_TT,0.0017169,0.0024087,0.0024827,0.0022563,0.0,0.0,0.0050405,0.0049662,0.005684,0.0042527
3,EFH,F_el_TT,-6.5052e-05,-4.8245e-06,7.5478e-05,0.00014909,-0.00013579,-7.6523e-05,-2.9125e-06,5.8271e-05,0.00010129,0.00020358
3,EFH,F_TWW_TT,-0.00013633,-7.232e-05,0.00030121,0.00035376,-0.00021371,0.00013785,6.9069e-05,1.9392e-05,0.00073589,0.00039197
3,MFH,F_Heiz_TT,0.0017589,0.0022946,0.0018072,0.0018481,0.00033712,0.00027087,0.0058914,0.0047108,0.0057554,0.0038752
3,MFH,F_el_TT,1.2016e-05,2.091e-06,-1.4781e-05,-1.4781e-05,-3.9592e-05,-4.1577e-05,5.0721e-05,1.797e-05,3.0872e-05,-8.8641e-07
3,MFH,F_TWW_TT,1.17e-05,2.8462e-06,2.8462e-06,1.5635e-05,-5.4213e-05,-4.5359e-05,2.7441e-05,2.6457e-05,1.957e-05,1.3668e-05
4,EFH,F_Heiz_TT,0.0018691,0.0022561,0.0025473,0.0025461,0.0,0.0,0.0051858,0.0052036,0.0052536,0.0046986
4,EFH,F_el_TT,-5.9466e-05,1.1574e-06,8.1989e-05,0.00015608,-0.00013068,-7.1014e-05,3.0819e-06,6.4668e-05,0.00010797,0.00021093
4,EFH,F_TWW_TT,-0.00013251,-6.819e-05,0.00030718,0.00035998,-0.00021027,0.00014301,7.3893e-05,2.3972e-05,0.00074399,0.00039838
4,MFH,F_Heiz_TT,0.0018686,0.0022059,0.0018495,0.0020238,0.00023195,0.00023259,0.0060958,0.0049419,0.0054377,0.0042448
4,MFH,F_el_TT,1.2868e-05,2.9107e-06,-1.4016e-05,-1.4016e-05,-3.8909e-05,-4.09e-05,5.17e-05,1.8842e-05,3.1786e-05,-7.6382e-08
4,MFH,F_TWW_TT,1.3284e-05,4.3766e-06,4.3766e-06,1.7243e-05,-5.3029e-05,-4.4121e-05,2.912e-05,2.8131e-05,2.1202e-05,1.5264e-05
5,EFH,F_Heiz_TT,0.0016855,0.0026847,0.001853,0.002747,0.0,0.0,0.0052114,0.0053066,0.0051848,0.0046805
5,EFH,F_el_TT,-6.1968e-05,-1.522e-06,7.9073e-05,0.00015295,-0.00013297,-7.3482e-05,3.9693e-07,6.1802e-05,0.00010498,0.00020764
5,EFH,F_TWW_TT,-0.0001258,-6.0922e-05,0.00031768,0.00037093,-0.00020423,0.0001521,8.2383e-05,3.2033e-05,0.00075824,0.00040966
5,MFH,F_Heiz_TT,0.0018053,0.0025558,0.0015617,0.0021884,0.00034775,0.00026626,0.006181,0.0050846,0.0054435,0.004285
5,MFH,F_el_TT,1.3884e-05,3.8887e-06,-1.3104e-05,-1.3104e-05,-3.8093e-05,-4.0092e-05,5.2867e-05,1.9882e-05,3.2876e-05,8.9002e-07
5,MFH,F_TWW_TT,1.2899e-05,4.0047e-06,4.0047e-06,1.6853e-05,-5.3317e-05,-4.4422e-05,2.8712e-05,2.7724e-05,2.0806e-05,1.4876e-05
6,EFH,F_Heiz_TT,0.0012318,0.001747,0.0015155,0.0019801,0.0,0.0,0.0044781,0.0044965,0.0046404,0.0040379
6,EFH,F_el_TT,-8.5809e-05,-2.7055e-05,5.1282e-05,0.00012309,-0.00015482,-9.7e-05,-2.519e-05,3.4496e-05,7.6462e-05,0.00017625
6,EFH,F_TWW_TT,-0.00015249,-8.9812e-05,0.00027595,0.0003274,-0.00022826,0.00011599,4.8636e-05,-7.6887e-09,0.00070159,0.00036482
6,MFH,F_Heiz_TT,0.0013586,0.001774,0.0012569,0.0016309,0.00029249,0.00030428,0.0053433,0.0043275,0.0048525,0.0036995
